Ag_Beta,Ag_Beta_err,Ag_Lambda,Ag_Lambda_err,Ag_frac,Ag_frac_err,Alpha,Alpha_err,Asy_tot,Asy_tot_err,CHISQ,CHISQ_err,CHISQred,CHISQred_err,Frequency_,Frequency__err,NDF,NDF_err,Order_Vfrac_,Order_Vfrac__err,Phase,Phase_err,RUN,Tail,Tail_Beta_,Tail_Beta__err,Tail_Lambda_,Tail_Lambda__err,Tail_err,YBO_Beta,YBO_Beta_err,YBO_paraBet2_,YBO_paraBet2__err,YBO_paraLam2_,YBO_paraLam2__err,YBO_sigma_,YBO_sigma__err,dataB,dataB_err,dataSpinRot,dataSpinRot_err,dataT,dataT_err,sigma,sigma_err
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8113.7,0.0,0.986108,0.0,520.9,3.6,8228.0,0.0,0.86797,0.00091,17.84,0.19,2460,0.333333,1.0,0.0,13.31,0.21,0.0,1.0,0.0,1.64,0.044,0.993,0.013,29.46,0.28,0.0,0.0,6.45,0.0,0.0333,0.0002,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8113.7,0.0,0.986108,0.0,523.0,4.5,8228.0,0.0,0.7434,0.0019,17.84,0.19,2461,0.333333,1.0,0.0,23.33,0.67,0.0,1.0,0.0,0.712,0.015,2.32,0.032,25.78,0.31,0.0,0.0,6.45,0.0,0.10002,8e-05,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8113.7,0.0,0.986108,0.0,522.5,4.3,8228.0,0.0,0.8367,0.0013,17.84,0.19,2462,0.333333,1.0,0.0,15.93,0.34,0.0,1.0,0.0,1.089,0.031,1.239,0.02,27.66,0.31,0.0,0.0,6.45,0.0,0.15,4e-05,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8113.7,0.0,0.986108,0.0,510.7,4.5,8228.0,0.0,0.8572,0.0012,17.84,0.19,2463,0.333333,1.0,0.0,15.53,0.32,0.0,1.0,0.0,1.628,0.053,1.23,0.017,29.83,0.37,0.0,0.0,6.45,0.0,0.2,5e-05,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8113.7,0.0,0.986108,0.0,451.3,3.9,8228.0,0.0,0.8694,0.0012,17.84,0.19,2464,0.333333,1.0,0.0,14.23,0.27,0.0,1.0,0.0,2.0,0.074,1.25,0.016,27.5,0.32,0.0,0.0,6.45,0.0,0.25,7e-05,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8113.7,0.0,0.986108,0.0,427.6,3.4,8228.0,0.0,0.8407,0.0014,17.84,0.19,2465,0.333333,1.0,0.0,12.72,0.24,0.0,1.0,0.0,1.296,0.039,1.436,0.02,23.86,0.25,0.0,0.0,6.45,0.0,0.3,0.0001,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8113.7,0.0,0.986108,0.0,326.6,3.0,8228.0,0.0,0.8715,0.0014,17.84,0.19,2466,0.333333,1.0,0.0,12.55,0.23,0.0,1.0,0.0,2.0,0.062,1.66,0.021,23.68,0.31,0.0,0.0,6.45,0.0,0.35,0.0001,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8113.7,0.0,0.986108,0.0,169.0,3.0,8228.0,0.0,0.8849,0.002,17.84,0.19,2467,0.333333,1.0,0.0,9.75,0.22,0.0,1.0,0.0,2.0,0.097,1.675,0.033,19.0,0.36,0.0,0.0,6.45,0.0,0.4001,0.0002,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8113.7,0.0,0.986108,0.0,0.0,176.5,8228.0,0.0,0.0387,0.0088,17.84,0.19,2468,0.333333,1.0,0.0,0.0,0.15,0.0,1.0,0.0,0.8529,0.0082,2.302,0.013,19.0,3.2,0.0,0.0,6.45,0.0,0.49999,9e-05,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8113.7,0.0,0.986108,0.0,0.0,900.1,8228.0,0.0,0.0,0.91,17.84,0.19,2469,0.333333,1.0,0.0,0.0,38.4,0.0,1.0,0.0,0.8056,0.0088,1.879,0.012,19.0,10.4,0.0,0.0,6.45,0.0,0.6,0.0001,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8113.7,0.0,0.986108,0.0,413.9,45.6,8228.0,0.0,0.1287,0.0047,17.84,0.19,2470,0.333333,1.0,0.0,1.35,0.17,0.0,1.0,0.0,0.948,0.011,1.681,0.011,25.1,3.3,0.0,0.0,6.45,0.0,0.6999,0.0002,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8113.7,0.0,0.986108,0.0,553.9,127.4,8228.0,0.0,0.0158,0.0035,17.84,0.19,2471,0.333333,1.0,0.0,5.9,7.3,0.0,1.0,0.0,0.9027,0.0093,1.76,0.01,19.0,3.6,0.0,0.0,6.45,0.0,0.8,0.0003,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8113.7,0.0,0.986108,0.0,72.0,44.0,8228.0,0.0,0.1121,0.0053,17.84,0.19,2472,0.333333,1.0,0.0,1.49,0.21,0.0,1.0,0.0,0.928,0.011,1.631,0.011,19.0,10.1,0.0,0.0,6.45,0.0,1.99999,8e-05,0.8,0.0
