Ag_Beta,Ag_Lambda,CHISQ,CHISQred,Frequency,NDF,Order_Vfrac,Phase,RUN,Tail,Tail_Beta,Tail_Lambda,YBO_B2,YBO_L2,YBO_Lambda,dataB,dataSpinRot,dataT
1.0,0.0241,738.8,1.1727,503.5,630.0,0.917,11.5,2460,0.333333,0.5,5.0,0.4,2.8,32.6,0.0,6.45,0.0333
1.0,0.0428,623.8,0.990159,486.0,630.0,0.907,12.4,2461,0.333333,0.5,5.0,0.4,3.0,29.7,0.0,6.45,0.10002
1.0,0.025,661.4,1.04984,550.0,630.0,1.0,4.1,2462,0.333333,0.556,3.48,0.42,2.9,33.4,0.0,6.45,0.15
1.0,0.05,642.7,1.02016,462.5,630.0,1.0,14.3,2463,0.333333,0.5,3.05,0.9,2.8,34.0,0.0,6.45,0.2
1.0,0.058,564.0,0.895238,398.6,630.0,1.0,16.3,2464,0.333333,0.5,3.04,0.4,3.0,30.2,0.0,6.45,0.25
1.0,0.045,631.4,1.00222,485.9,630.0,0.888,0.0,2465,0.333333,0.568,5.0,0.4,3.0,26.9,0.0,6.45,0.3
1.0,0.0836,632.3,1.00365,319.8,630.0,0.908,10.2,2466,0.333333,0.5,5.0,0.4,3.0,25.3,0.0,6.45,0.35
1.0,0.074,573.5,0.910317,200.0,630.0,0.887,4.6,2467,0.333333,0.68,5.0,0.4,3.0,19.4,0.0,6.45,0.4001
1.0,0.0,596.1,0.94619,200.0,630.0,0.0,0.5,2468,0.333333,1.0,2.9,0.856,2.439,20.7,0.0,6.45,0.49999
1.0,0.0,605.1,0.960476,200.0,630.0,0.0,0.5,2469,0.333333,1.0,2.0,0.838,1.997,35.0,0.0,6.45,0.6
1.0,0.073,605.7,0.961429,550.0,630.0,0.095,0.0,2470,0.333333,0.5,2.0,0.877,1.55,23.3,0.0,6.45,0.6999
1.0,0.027,573.2,0.909841,539.1,630.0,0.014,25.0,2471,0.333333,1.0,2.0,0.9,1.78,19.0,0.0,6.45,0.8
1.0,0.098,667.3,1.05921,201.2,630.0,0.0,25.0,2472,0.333333,0.5,2.3,0.764,1.54,25.3,0.0,6.45,1.99999
