Ag_Beta,Ag_Beta_err,Ag_Lambda,Ag_Lambda_err,CHISQ,CHISQ_err,CHISQred,CHISQred_err,Frequency,Frequency_err,NDF,NDF_err,Order_Vfrac,Order_Vfrac_err,Phase,Phase_err,RUN,Tail_Beta,Tail_Beta_err,Tail_Lambda,Tail_Lambda_err,YBO_B2,YBO_B2_err,YBO_L2,YBO_L2_err,YBO_Lambda,YBO_Lambda_err,dataB,dataB_err,dataSpinRot,dataSpinRot_err,dataT,dataT_err
1.0,0.0,0.0243,0.0088,738.8,0.0,1.1727,0.0,503.0,35.5,630.0,0.0,0.918,0.032,11.6,4.1,2460,0.5,0.31,5.0,2.8,0.4,0.41,2.8,1.4,32.6,1.5,0.0,0.0,6.45,0.0,0.0333,0.0002
1.0,0.0,0.0429,0.0077,623.8,0.0,0.990159,0.0,486.0,34.8,630.0,0.0,0.907,0.017,12.4,4.4,2461,0.5,0.35,5.0,2.7,0.4,0.41,3.0,1.7,29.7,1.4,0.0,0.0,6.45,0.0,0.10002,8e-05
1.0,0.0,0.025,0.022,661.4,0.0,1.04984,0.0,549.8,41.7,630.0,0.0,1.0,0.2,4.1,5.6,2462,0.556,0.092,3.48,0.47,0.66,0.34,2.8,1.5,33.4,1.9,0.0,0.0,6.45,0.0,0.15,4e-05
1.0,0.0,0.05,0.011,642.7,0.0,1.02016,0.0,462.6,35.4,630.0,0.0,1.0,0.64,14.3,4.2,2463,0.5,0.49,3.06,0.56,0.44,0.48,1.0,1.1,34.0,1.8,0.0,0.0,6.45,0.0,0.2,5e-05
1.0,0.0,0.058,0.01,564.0,0.0,0.895238,0.0,398.5,28.7,630.0,0.0,1.0,0.18,16.3,3.9,2464,0.5,0.075,3.04,0.3,0.43,0.32,3.0,2.0,30.2,1.5,0.0,0.0,6.45,0.0,0.25,7e-05
1.0,0.0,0.045,0.016,631.4,0.0,1.00222,0.0,485.9,16.3,630.0,0.0,0.888,0.018,0.0,17.7,2465,0.568,0.085,5.0,2.2,0.4,0.41,3.0,2.0,26.9,1.2,0.0,0.0,6.45,0.0,0.3,0.0001
1.0,0.0,0.0837,0.0087,632.3,0.0,1.00365,0.0,319.9,28.2,630.0,0.0,0.908,0.019,10.2,4.9,2466,0.5,0.49,5.0,2.7,0.4,0.47,3.0,1.7,25.3,1.6,0.0,0.0,6.45,0.0,0.35,0.0001
1.0,0.0,0.073,0.028,573.5,0.0,0.910317,0.0,200.0,13.9,630.0,0.0,0.887,0.029,4.7,14.2,2467,0.68,0.34,5.0,2.0,0.4,0.41,3.0,1.9,19.3,11.6,0.0,0.0,6.45,0.0,0.4001,0.0002
1.0,0.0,0.0,0.066,596.1,0.0,0.94619,0.0,200.0,384.2,630.0,0.0,0.0,0.67,0.5,19.3,2468,1.0,0.43,2.9,1.7,0.856,0.025,2.439,0.045,25.9,10.8,0.0,0.0,6.45,0.0,0.49999,9e-05
1.0,0.0,0.0,0.015,604.7,0.0,0.959841,0.0,650.0,294.9,630.0,0.0,0.021,0.032,25.0,19.4,2469,1.0,0.42,2.0,2.6,0.86,0.043,1.96,0.069,19.0,12.5,0.0,0.0,6.45,0.0,0.6,0.0001
1.0,0.0,0.084,0.092,605.6,0.0,0.96127,0.0,578.2,371.9,630.0,0.0,0.095,0.08,0.0,19.0,2470,1.0,0.33,4.9,1.5,0.86,0.4,1.47,0.25,23.0,8.7,0.0,0.0,6.45,0.0,0.6999,0.0002
1.0,0.0,0.035,0.067,573.4,0.0,0.910159,0.0,200.0,383.2,630.0,0.0,0.0,0.67,0.0,21.3,2471,1.0,0.42,2.5,1.7,0.88,0.39,1.77,0.18,34.6,14.5,0.0,0.0,6.45,0.0,0.8,0.0003
1.0,0.0,0.1,0.072,667.3,0.0,1.05921,0.0,200.0,422.1,630.0,0.0,0.0,0.59,1.3,22.4,2472,0.97,0.29,4.1,1.7,0.7614,0.0065,1.5339,0.0087,19.8,8.8,0.0,0.0,6.45,0.0,1.99999,8e-05
